,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Western Continuing Studies,Western University,,,,,,,,,,,,2022-03-21T23:33:01.000Z,Mon Mar 21 23:33:01 +0000 2022,0,RT @westernuCS : #KeepLearning this spring?? Here are our top 5 course recommendations.   https://t.co/yQ8Co9gaWa #WesternU https://t.co/1uNSPOrbrT,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://buff.ly/3vrufGu ,2,0,photo,https://pbs.twimg.com/media/FOX-9OcXoAYUxLT.jpg,
Western Libraries,Western University,,,,,,,,,,,,2022-03-21T14:18:16.000Z,Mon Mar 21 14:18:16 +0000 2022,0,"RT @westernulibs : It's officially spring and two things remain here at #WesternU: 

1. Masks are still required. ??
2. Wordle is still very much a thing. ??

You can pick up your medical-grade ASTM Level 3 masks at any of our five libraries with your Western ONECard. https://t.co/vBxV1zey6p",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FOX-5XGXEAQqNsT.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-21T11:08:06.000Z,Mon Mar 21 11:08:06 +0000 2022,59,"March 21 is known around the world as the International Day for Elimination of Racial Discrimination.  

#WesternU stands with our community to address and dismantle racism.  
@westernuSE @westernuIntl #FightRacism https://t.co/xgRqV9bX3p",23,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,2,2,photo,https://pbs.twimg.com/media/FOXnJ70WYAM_zh9.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-20T18:39:03.000Z,Sun Mar 20 18:39:03 +0000 2022,45,"Today marks the celebration of Nowruz [now-rooz]  (also called Navroz) for many communities around the world. It is described as Persian New Year. 

#WesternU wishes those celebrating Nowruz Mubarak! https://t.co/ahB1LFl8az",6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FOUEyYwXwAML0-o.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-19T16:58:00.000Z,Sat Mar 19 16:58:00 +0000 2022,25,"Could electrodialysis work as a nuclear decontamination method? Check out the research by MSc candidate Baian Almusned! 

The Inspiring Minds campaign showcases graduate research from #WesternU.
#GradLifeWesternU @westernuScience @VPRWesternU",6,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",Tweet,,2,2,,,
Western University,Western University,,,,,,,,,,,,2022-03-18T22:23:01.000Z,Fri Mar 18 22:23:01 +0000 2022,4,#WesternU Professor Emeritus Gordon McBean joined @CBCOntMorning to discuss the potential impacts the Russian invasion of Ukraine could have on climate change. https://t.co/7z7ul5TxFX,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.cbc.ca/listen/live-radio/1-112-ontario-morning-from-cbc-radio/clip/15900431-ontario-morning-march-14-2022-pt-1 ,1,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-18T17:41:16.000Z,Fri Mar 18 17:41:16 +0000 2022,20,"Today marks the celebration of #Holi.  

Though Holi is celebrated throughout the world today, the origins of this significant day come from the Indian subcontinent.

Holi Hai #WesternU! https://t.co/pD6XRCqcdD",4,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FOJkYPFXEAUxNTj.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-18T17:22:09.000Z,Fri Mar 18 17:22:09 +0000 2022,21,Thanks #WesternU for taking care! https://t.co/Yu796u7rsT,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/S_Williams001/status/1504810628459995179 ,1,0,,,
Western University,Western University,,,,,,,,,,,,2022-03-18T00:56:02.000Z,Fri Mar 18 00:56:02 +0000 2022,21,.@BresciaUC prof and home economist Peggy O'Neil shares her thoughts on food system #sustainability and cultivating food security from the ground up. She will keynote a symposium on food systems sustainability on March 22. #WesternU #ldnont #foodsecurity https://t.co/nLKa5oXAux,5,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/growing-food-sustainability-from-the-ground-up/ ,4,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-17T23:33:00.000Z,Thu Mar 17 23:33:00 +0000 2022,19,"They represent some of the best in world-changing research, teaching and leadership. Now #WesternU pathologist Subrata Chakrabarti, astrophysicist @PBarmby and geographer Isaac Luginaah, can add 'Distinguished University Professor' to their titles. https://t.co/BEG0wzrIKw",2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/three-new-distinguished-university-professors/ ,1,1,,,
