,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
University of Toronto,University of Toronto,,,,,,,,,,13,,2022-03-22T18:30:17.000Z,Tue Mar 22 18:30:17 +0000 2022,70,A new @UTSC medical academy will fill a critical need by training the next generation of health-care professionals in the eastern GTA. #UofT ?? https://t.co/paSkPoPfc4 https://t.co/3kgSN0T4sb,12,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/samih ,1,1,photo,https://pbs.twimg.com/media/FOeTSZnX0AUH12q.jpg,
University of Toronto Scarborough,University of Toronto,,,,,,,,,,14,,2022-03-22T17:35:01.000Z,Tue Mar 22 17:35:01 +0000 2022,0,"RT @UTSC : HAPPENING NOW: #UTSC welcomes @JillDunlop1, @The_VijayT, @RaymondChoPC, Patricia Houston and @PrabSarkaria alongside principal Wisdom Tettey to share the news of the new Scarborough Academy of Medicine in the Eastern GTA. Watch live ?? #UofT #ScarbTO #SAMIH #ONHealth https://t.co/l0uA3rdT6y",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/ONtrainandstudy/status/1506322012905644034 ,5,4,,,https://pbs.twimg.com/media/FN0PeyAXMAIxq2D.jpg
University of Toronto,University of Toronto,,,,,,,,,,15,,2022-03-22T17:21:35.000Z,Tue Mar 22 17:21:35 +0000 2022,21,What Andrei Sakharov taught us about science &amp; freedom: #UofT's John Polanyi in the @GlobeandMail ?? https://t.co/GsJFqfK6FE https://t.co/qo9KsIjIVw,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7Ie ,1,1,photo,https://pbs.twimg.com/media/FOeDmYjXEAIUC6Y.jpg,https://pbs.twimg.com/media/FNvPhprVEAAgi4z.jpg
U of T Arts & Science Registrar,University of Toronto,,,,,,,,,,16,,2022-03-22T16:01:01.000Z,Tue Mar 22 16:01:01 +0000 2022,0,"RT @ArtSciRegistrar : @UofTArtSci @UofTStudentLife @VicRegistrar @UCRegistrar @assu_uoft @innisregistrar @WoodsworthReg @NewCollegeUofT @fortrinstudents @UofT Remember, a full list of awards and scholarships available to @UofT &amp; @UoftArtSci students is available through the award explorer tool online ?? https://t.co/OuDwJMAmyJ https://t.co/AbcDt4JnBr",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://awardexplorer.utoronto.ca/ ,0,12,photo,https://pbs.twimg.com/media/FOdNx9cXsBAgjxg.jpg,https://pbs.twimg.com/media/FNp_Ed1UcAUrmls.jpg
University of Toronto Student Life,University of Toronto,,,,,,,,,,17,,2022-03-22T15:01:01.000Z,Tue Mar 22 15:01:01 +0000 2022,0,"RT @UofTStudentLife : Good morning, #UofT! Today’s #ExamReadyUofT booths are popping up at these locations — grab your FREE STUDY KIT:
??Music Library, Edward Johnson Building, @UofTMusic, 11-1pm
??Robarts Library, 2nd Floor @uoftlibraries, 2-4pm
Details here: https://t.co/5EmBvWZlTC https://t.co/6dTyBd8bH1",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://uoft.me/exam-ready ,2,2,photo,https://pbs.twimg.com/media/FOdL-CZXIAc_U7V.jpg,https://pbs.twimg.com/media/FNmBA8IUUAIuGJq.jpg
University of Toronto,University of Toronto,,,,,,,,,,18,,2022-03-22T14:01:22.000Z,Tue Mar 22 14:01:22 +0000 2022,11,Building bridges: Global Language Initiative prepares #UofT students for a 'pluricultural' world ?? https://t.co/e6CUV13mH8 https://t.co/3sr24QrOHq,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7I9 ,1,0,photo,https://pbs.twimg.com/media/FOdYaGcX0AghIlL.jpg,https://pbs.twimg.com/media/FNlXjKiXwAk0UQX.jpg
U of T CECCS,University of Toronto,,,,,,,,,,19,,2022-03-22T13:33:08.000Z,Tue Mar 22 13:33:08 +0000 2022,0,"RT @uoftceccs : ???Mark your calendars for our upcoming Adams Sustainability Celebration Events ??
1??Mar 30 - Fossil Fuel Divestment Panel
2??Mar 31 - Awards Ceremony and Innovation Prize Pitch Competition
3??Apr 6 - Community of Practice on Sustainability Panel
Register at: https://t.co/IcrDvYUJqn https://t.co/bn2X9jfmRd",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://cvent.me/Agv5dO ,0,0,photo,https://pbs.twimg.com/media/FOc-TAFWUBAqV3f.jpg,https://pbs.twimg.com/media/FNktAV2XoAgFI_y.jpg
University of Toronto,University of Toronto,,,,,,,,,,20,,2022-03-21T21:01:13.000Z,Mon Mar 21 21:01:13 +0000 2022,48,#UofT &amp; other post-secondary institutions are playing a key role in fueling &amp; sustaining Toronto’s technology boom ??? https://t.co/CDAIoxepda https://t.co/uX0R3smfBI,14,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7I4 ,1,0,photo,https://pbs.twimg.com/media/FOZpuyXXMAY5d2t.jpg,
U of T Arts & Science,University of Toronto,,,,,,,,,,21,,2022-03-21T20:01:01.000Z,Mon Mar 21 20:01:01 +0000 2022,0,"RT @UofTArtSci : Welcome spring at the Nowruz Festival of Women Poets.

Hosted and organized by @AgaKhanMuseum &amp; @UofT, this virtual celebration features inspiring poets like @Sholeh_Wolpe, musicians and more.

Watch the free livestream on March 26 at 12pm EDT on Facebook: https://t.co/9tFLAFpUia https://t.co/yevVWjhDwp",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://bit.ly/3u8Xtrl ,0,3,photo,https://pbs.twimg.com/media/FOZXy6oWQAM0sw_.jpg,https://pbs.twimg.com/media/FNhG0UgXEAI0e3w.jpg
Black Research Network,University of Toronto,,,,,,,,,,22,,2022-03-21T19:01:38.000Z,Mon Mar 21 19:01:38 +0000 2022,0,RT @uoftbrn : Vincent Kuuire (@vkuuire) is an assistant professor at @UTM_GGE and 2019 Canada Research Chair. His research focus includes healthcare access disparities in sub-Saharan Africa and immigrant integration dynamics in Canada ?? https://t.co/24QVtaTjEq @UTM #UofT #BlackResearchNetwork https://t.co/KlxpSRNfzW,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://buff.ly/3CYSxcu ,2,3,photo,https://pbs.twimg.com/media/FOY-WyvX0AkLyXL.jpg,
